name
MNAT2
SARM1  
NAM
Nogo-A
MAG
OMgp
CSPGs
cAMP
GAP-43
SOCS3
PTEN 
BMPs
Noggin
Chordin
Folistatin
Shh
Patched
Smoothened
Slimb
PKA
Gli
Wnt  
Otx2
Gbx2
Engrailed 
FGF
Hox
Pax6 
Emx2
Notch
Delta
Split  
AS-C 
Hes
Mash
Reelin
Doublecortin
GGF
IL6  
Par
Tau
Map2
Protocadherin
Hippo/TRC
Laminin  
Integrin
Cadherin 
CAMs
Ephrin
Netrin
Semaphorin  
Slit   
EphrinB2
EphB1
EphrinA
EphA
beta2
Agrin  
Lrp4
MuSK
Rapsyn
AChR
Neuregulin
ErbBK
Gephyrin
PSD-95  
Homer
Neurexin
Neuroligin
Cbln1
GluRD2
c1ql
GluK2
Lynx
