name
calyx_of_held
MNTB
caged_calcium
synaptic_delay
MEPPs
fusion_pore
synapsin
rab3
synaptobrevin
syntaxin
snap-25
synaptotagmin
NSF
SNAP
paired_pulse_facilitation
paired_pulse_depression
catecholamines
serotonin
histamine
glutamate
GABA
glycine
purines
ChAt
vAChT
CHT
acetylcholinesterase
TH
L-DOPA
Dopa_decarboxylase
VMAT
dopamine_beta_hydroxylase
PNMT
MAO
tryptophan_hydroxylase
5-HTP-decarboxylase
SERT
glutaminase
VGLUT
GLT
GAD
VGAT
direct_perforant_path
indirect_trisynaptic_path
schaffer_collateral
ACSF
hippocampal_mossy_fiber
early_LTP
late_LATP
CAMKII
PKC
TyrosineK
NO_Synthase
PKMzeta
PKA
MAPK
CREB
PP2A
cerebellar_mossy_fiber
parallel_fiber
climbing_fiber
LAT1
median_eminence
area_postrema
sufornical_organ
organum_vasculosum
ependymal_cells
vasogenic_edema
cytotoxic_edema
hydrocephalus
internal_carotid_artery
vertebral_artery
basilar_artery
circle_of_willis
anterior_cerebral_artery
middle_cerebral_artery
anterior_choroidal_artery
posterior_cerebral_artery
superior_cerebellar_artery
posterior_inferior_cerebellar_artery
anterior_inferior_cerebellar_artery
dural_sinus
neurovascular_coupling
atherosclerosis
thrombosis
embolism
